###########################################################################################################################################################

        learning rate vit: 0.0001, learning rate mlp: 0.0001, lr_sched: True, mlp_hidden_sizes: [1024, 512, 256], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: True, train_seqeunces: [0], val_sequences: [0], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.01, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None 

algebraic_truth: 0.024857250570553786		 val_algebraic_truth: 0.02541717540386111
Epoch 13/1500: Training Loss: 0.07668356309857285		 Val Loss: 0.06950171603712925
             Training MAE: 0.05902041867375374		 Val MAE: 0.05711958929896355
             Algebraic dist: 47.66228070175438		 Val Algebraic dist: 45.523962686228195
             Algebraic sqr dist: 4683.183114035088	  Val Algebraic sqr dist: 4379.137718023256
             RE1 dist: 2341.59192251462		 Val RE1 dist: 2189.568859011628
             SED dist: 6.118613081368786		 Val SED dist: 5.498629547828852

Epoch 14/1500: Training Loss: 0.07352822844745123		 Val Loss: 0.06675698036371275
             Training MAE: 0.055909257382154465		 Val MAE: 0.05410236492753029
             Algebraic dist: 44.89860882675438		 Val Algebraic dist: 42.13434831486192
             Algebraic sqr dist: 4162.749269005848	  Val Algebraic sqr dist: 3382.2082122093025
             RE1 dist: 2081.374634502924		 Val RE1 dist: 1691.1041061046512
             SED dist: 5.9515398705911915		 Val SED dist: 5.351534821266352

Epoch 15/1500: Training Loss: 0.07517828021133155		 Val Loss: 0.06831714718840844
             Training MAE: 0.05294361710548401		 Val MAE: 0.05115087330341339
             Algebraic dist: 43.40891984192251		 Val Algebraic dist: 41.63084801962209
             Algebraic sqr dist: 3952.9225146198833	  Val Algebraic sqr dist: 3448.9407703488373
             RE1 dist: 1976.4612573099416		 Val RE1 dist: 1724.4703851744187
             SED dist: 6.250124925758406		 Val SED dist: 5.62018709404524

Epoch 16/1500: Training Loss: 0.069918560005768		 Val Loss: 0.06290481256884198
             Training MAE: 0.05065209046006203		 Val MAE: 0.04990243539214134
             Algebraic dist: 40.53952508223684		 Val Algebraic dist: 38.33334563499273
             Algebraic sqr dist: 3392.1706871345027	  Val Algebraic sqr dist: 2887.053960755814
             RE1 dist: 1696.0853435672514		 Val RE1 dist: 1443.526980377907
             SED dist: 5.820506313390899		 Val SED dist: 5.1628538619640265

Epoch 17/1500: Training Loss: 0.07167514444094653		 Val Loss: 0.06976198595623638
             Training MAE: 0.048539262264966965		 Val MAE: 0.04728693887591362
             Algebraic dist: 39.96416700932018		 Val Algebraic dist: 40.017597996911334
             Algebraic sqr dist: 3300.3227339181285	  Val Algebraic sqr dist: 3739.6507994186045
             RE1 dist: 1650.1613669590643		 Val RE1 dist: 1869.8253997093022
             SED dist: 6.084604720623172		 Val SED dist: 5.925673373909884

Epoch 18/1500: Training Loss: 0.0685709289640014		 Val Loss: 0.07095852009085722
             Training MAE: 0.047057271003723145		 Val MAE: 0.045955315232276917
             Algebraic dist: 37.871082328216374		 Val Algebraic dist: 39.80134618005087
             Algebraic sqr dist: 2982.0524488304095	  Val Algebraic sqr dist: 3615.0072674418607
             RE1 dist: 1491.0262244152048		 Val RE1 dist: 1807.5036337209303
             SED dist: 5.837216382835344		 Val SED dist: 6.115271989689317

Epoch 19/1500: Training Loss: 0.06960468403777184		 Val Loss: 0.06406647105549657
             Training MAE: 0.0457134023308754		 Val MAE: 0.046109504997730255
             Algebraic dist: 37.37294122350146		 Val Algebraic dist: 35.768486555232556
             Algebraic sqr dist: 2902.8581871345027	  Val Algebraic sqr dist: 2752.532340116279
             RE1 dist: 1451.4291849415204		 Val RE1 dist: 1376.2662609011627
             SED dist: 6.0001955980445905		 Val SED dist: 5.471131790515988

Epoch 20/1500: Training Loss: 0.06873145856355366		 Val Loss: 0.09334533159122911
             Training MAE: 0.04473443329334259		 Val MAE: 0.043085116893053055
             Algebraic dist: 35.728952508223685		 Val Algebraic dist: 44.677422102107556
             Algebraic sqr dist: 2671.629203216374	  Val Algebraic sqr dist: 5028.454215116279
             RE1 dist: 1335.814601608187		 Val RE1 dist: 2514.2271075581393
             SED dist: 5.966172603138706		 Val SED dist: 8.456503224927326

Epoch 21/1500: Training Loss: 0.07018589555171498		 Val Loss: 0.062355656956517416
             Training MAE: 0.04302937909960747		 Val MAE: 0.043338675051927567
             Algebraic dist: 35.49679618969298		 Val Algebraic dist: 33.489873841751454
             Algebraic sqr dist: 2607.0513523391814	  Val Algebraic sqr dist: 2321.5872093023254
             RE1 dist: 1303.5256761695907		 Val RE1 dist: 1160.7937863372092
             SED dist: 6.1631630345394735		 Val SED dist: 5.390238207440044

Epoch 22/1500: Training Loss: 0.06634038512469732		 Val Loss: 0.06465863072594931
             Training MAE: 0.04281704127788544		 Val MAE: 0.04267611354589462
             Algebraic dist: 33.50048828125		 Val Algebraic dist: 33.70994390443314
             Algebraic sqr dist: 2316.8230994152045	  Val Algebraic sqr dist: 2019.2739825581396
             RE1 dist: 1158.4115497076023		 Val RE1 dist: 1009.637082122093
             SED dist: 5.808702256944445		 Val SED dist: 5.654609857603561

Epoch 23/1500: Training Loss: 0.06954040304262038		 Val Loss: 0.06209306384241858
             Training MAE: 0.042513903230428696		 Val MAE: 0.04220582917332649
             Algebraic dist: 34.12458881578947		 Val Algebraic dist: 32.61565168513808
             Algebraic sqr dist: 2394.3863304093566	  Val Algebraic sqr dist: 2393.141715116279
             RE1 dist: 1197.1931652046783		 Val RE1 dist: 1196.5708575581396
             SED dist: 6.15836945472405		 Val SED dist: 5.434657252112101

Epoch 24/1500: Training Loss: 0.06792591608058639		 Val Loss: 0.06738779711168866
             Training MAE: 0.041082028299570084		 Val MAE: 0.03996945545077324
             Algebraic dist: 32.68626644736842		 Val Algebraic dist: 32.806464616642444
             Algebraic sqr dist: 2202.8888888888887	  Val Algebraic sqr dist: 1936.6580668604652
             RE1 dist: 1101.4444444444443		 Val RE1 dist: 968.3290334302326
             SED dist: 6.040271067479898		 Val SED dist: 6.010478884674782

Epoch 25/1500: Training Loss: 0.06420381445633738		 Val Loss: 0.06154242781705634
             Training MAE: 0.040888987481594086		 Val MAE: 0.040843456983566284
             Algebraic dist: 31.098906935307017		 Val Algebraic dist: 30.897690883902616
             Algebraic sqr dist: 2002.2088815789473	  Val Algebraic sqr dist: 1894.281976744186
             RE1 dist: 1001.1044407894736		 Val RE1 dist: 947.1410792151163
             SED dist: 5.687690957944993		 Val SED dist: 5.429901123046875

Epoch 26/1500: Training Loss: 0.0661325900875337		 Val Loss: 0.06050051644791004
             Training MAE: 0.04002511501312256		 Val MAE: 0.038740433752536774
             Algebraic dist: 30.95889014528509		 Val Algebraic dist: 30.005214957303778
             Algebraic sqr dist: 1954.34192251462	  Val Algebraic sqr dist: 1851.9369549418604
             RE1 dist: 977.17096125731		 Val RE1 dist: 925.9685683139535
             SED dist: 5.913895813345212		 Val SED dist: 5.368658021438954

Epoch 27/1500: Training Loss: 0.06740230984157985		 Val Loss: 0.0782386258591053
             Training MAE: 0.0397874154150486		 Val MAE: 0.03908362239599228
             Algebraic dist: 30.94956996984649		 Val Algebraic dist: 34.82799157430959
             Algebraic sqr dist: 1979.811038011696	  Val Algebraic sqr dist: 1953.3611918604652
             RE1 dist: 989.905519005848		 Val RE1 dist: 976.6806867732558
             SED dist: 6.060319153188962		 Val SED dist: 7.157379860101744

Epoch 28/1500: Training Loss: 0.06396685148540296		 Val Loss: 0.09244778544403785
             Training MAE: 0.03968119993805885		 Val MAE: 0.040075041353702545
             Algebraic dist: 29.43610654239766		 Val Algebraic dist: 38.691426121911334
             Algebraic sqr dist: 1804.8075657894738	  Val Algebraic sqr dist: 2286.580305232558
             RE1 dist: 902.4037828947369		 Val RE1 dist: 1143.290152616279
             SED dist: 5.73337952017087		 Val SED dist: 8.591970044513081

Epoch 29/1500: Training Loss: 0.06725243797079164		 Val Loss: 0.08595381781112316
             Training MAE: 0.03913980722427368		 Val MAE: 0.037392210215330124
             Algebraic dist: 29.991062454312864		 Val Algebraic dist: 36.1359380677689
             Algebraic sqr dist: 1876.0743786549708	  Val Algebraic sqr dist: 3204.0730377906975
             RE1 dist: 938.0371893274854		 Val RE1 dist: 1602.0367005813953
             SED dist: 6.085456357364766		 Val SED dist: 7.973700944767442

Epoch 30/1500: Training Loss: 0.06715311641581574		 Val Loss: 0.06339129736257154
             Training MAE: 0.03869473934173584		 Val MAE: 0.03776892274618149
             Algebraic dist: 29.483364172149123		 Val Algebraic dist: 29.20081418059593
             Algebraic sqr dist: 1792.187317251462	  Val Algebraic sqr dist: 1973.4325944767443
             RE1 dist: 896.093658625731		 Val RE1 dist: 986.7162972383721
             SED dist: 6.092420789930555		 Val SED dist: 5.7284088134765625

Epoch 31/1500: Training Loss: 0.07274663936324983		 Val Loss: 0.07428873971451161
             Training MAE: 0.03839598596096039		 Val MAE: 0.03833520784974098
             Algebraic dist: 30.905747441520468		 Val Algebraic dist: 32.67010923873546
             Algebraic sqr dist: 1985.0517178362572	  Val Algebraic sqr dist: 2521.630632267442
             RE1 dist: 992.5258589181286		 Val RE1 dist: 1260.815316133721
             SED dist: 6.661509017498172		 Val SED dist: 6.807095549827398

Epoch 32/1500: Training Loss: 0.06513362460666233		 Val Loss: 0.058544985083646556
             Training MAE: 0.038390062749385834		 Val MAE: 0.03685040399432182
             Algebraic dist: 28.473826982821638		 Val Algebraic dist: 27.230849155159884
             Algebraic sqr dist: 1702.6971856725147	  Val Algebraic sqr dist: 1395.2811591569769
             RE1 dist: 851.3485014619883		 Val RE1 dist: 697.6405795784884
             SED dist: 5.90551329495614		 Val SED dist: 5.266738181890443

Epoch 33/1500: Training Loss: 0.06426554116589284		 Val Loss: 0.06293112732643305
             Training MAE: 0.03782588243484497		 Val MAE: 0.03691278398036957
             Algebraic dist: 27.578439099049707		 Val Algebraic dist: 28.225225404251454
             Algebraic sqr dist: 1570.8017178362572	  Val Algebraic sqr dist: 1419.8452034883721
             RE1 dist: 785.4009502923976		 Val RE1 dist: 709.9226017441861
             SED dist: 5.837915610151681		 Val SED dist: 5.714892010356104

Epoch 34/1500: Training Loss: 0.06357407709311323		 Val Loss: 0.05771714033082474
             Training MAE: 0.037171781063079834		 Val MAE: 0.03650650754570961
             Algebraic dist: 27.358538354349417		 Val Algebraic dist: 26.64093727289244
             Algebraic sqr dist: 1527.486293859649	  Val Algebraic sqr dist: 1489.1547056686047
             RE1 dist: 763.743192616959		 Val RE1 dist: 744.5773982558139
             SED dist: 5.787219309667398		 Val SED dist: 5.207218968591024

Epoch 35/1500: Training Loss: 0.0648045567741171		 Val Loss: 0.07270449815794479
             Training MAE: 0.037460148334503174		 Val MAE: 0.03708886727690697
             Algebraic dist: 27.364965963084796		 Val Algebraic dist: 30.2718874909157
             Algebraic sqr dist: 1569.9629020467837	  Val Algebraic sqr dist: 1515.950308866279
             RE1 dist: 784.9814510233919		 Val RE1 dist: 757.9752452761628
             SED dist: 5.915617290296052		 Val SED dist: 6.7153064816497094

Epoch 36/1500: Training Loss: 0.06255726507532666		 Val Loss: 0.07017075738241506
             Training MAE: 0.03673615679144859		 Val MAE: 0.037553757429122925
             Algebraic dist: 26.262441177814328		 Val Algebraic dist: 29.147824309593023
             Algebraic sqr dist: 1417.5879934210527	  Val Algebraic sqr dist: 2079.984375
             RE1 dist: 708.7939967105264		 Val RE1 dist: 1039.9921875
             SED dist: 5.707834701091922		 Val SED dist: 6.470627185910247

Epoch 37/1500: Training Loss: 0.06387517047904388		 Val Loss: 0.0962970312251601
             Training MAE: 0.03719291090965271		 Val MAE: 0.038671787828207016
             Algebraic dist: 26.68505002741228		 Val Algebraic dist: 35.890724359556685
             Algebraic sqr dist: 1483.2685489766081	  Val Algebraic sqr dist: 2006.5864825581396
             RE1 dist: 741.6342744883041		 Val RE1 dist: 1003.2932412790698
             SED dist: 5.8411990160133405		 Val SED dist: 9.07801144622093

Epoch 38/1500: Training Loss: 0.06636582201684428		 Val Loss: 0.0627450055854265
             Training MAE: 0.03620128706097603		 Val MAE: 0.03724072128534317
