
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Sceneflow2Kitti,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: head, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 3
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.002, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 300

train size: 32, val size: 24, test size: 1064

algebraic_truth: 0.01724189706146717		 val_algebraic_truth: 0.01761859655380249
             	Training MAE: 0.03973786532878876		 Val MAE: 0.04108409956097603
             	Algebraic dist: 0.1563955843448639		 Val Algebraic dist: 0.27776970465977985
             	RE1 dist: 0.02187366783618927		 Val RE1 dist: 0.09172403812408447
             	SED dist: 0.11109763383865356		 Val SED dist: 0.4112003644307454

Epoch 15/100: Training Loss: 0.09451258927583694		 Val Loss: 0.11262230078379314
             	Training MAE: 0.038655638694763184		 Val MAE: 0.04117085039615631
             	Algebraic dist: 0.17506185173988342		 Val Algebraic dist: 0.21281975507736206
             	RE1 dist: 0.03974642977118492		 Val RE1 dist: 0.04074809451897939
             	SED dist: 0.17586597800254822		 Val SED dist: 0.21100914478302002

Epoch 16/100: Training Loss: 0.05547917261719704		 Val Loss: 0.09388978282610576
             	Training MAE: 0.042229294776916504		 Val MAE: 0.0408712774515152
             	Algebraic dist: 0.14321590960025787		 Val Algebraic dist: 0.17422926425933838
             	RE1 dist: 0.0185516607016325		 Val RE1 dist: 0.036868306497732796
             	SED dist: 0.09591633826494217		 Val SED dist: 0.17385854323705038

Epoch 17/100: Training Loss: 0.0704818144440651		 Val Loss: 0.1285493771235148
             	Training MAE: 0.03782317414879799		 Val MAE: 0.04091630503535271
             	Algebraic dist: 0.13477210700511932		 Val Algebraic dist: 0.2089297374089559
             	RE1 dist: 0.029908452183008194		 Val RE1 dist: 0.0523709903160731
             	SED dist: 0.12810485064983368		 Val SED dist: 0.24255226055781046

Epoch 18/100: Training Loss: 0.05334444344043732		 Val Loss: 0.11935851971308391
             	Training MAE: 0.0449444055557251		 Val MAE: 0.048988308757543564
             	Algebraic dist: 0.13231921195983887		 Val Algebraic dist: 0.2150405446688334
             	RE1 dist: 0.0184798426926136		 Val RE1 dist: 0.04310285051663717
             	SED dist: 0.08945595473051071		 Val SED dist: 0.21855423847834268

Epoch 19/100: Training Loss: 0.05898896977305412		 Val Loss: 0.11131312449773152
             	Training MAE: 0.047339390963315964		 Val MAE: 0.04203551635146141
             	Algebraic dist: 0.13494496047496796		 Val Algebraic dist: 0.21453750133514404
             	RE1 dist: 0.02094215527176857		 Val RE1 dist: 0.03993099182844162
             	SED dist: 0.09980840981006622		 Val SED dist: 0.2078662316004435

Epoch 20/100: Training Loss: 0.04573925584554672		 Val Loss: 0.1146392822265625
             	Training MAE: 0.03843550756573677		 Val MAE: 0.040050312876701355
             	Algebraic dist: 0.12527033686637878		 Val Algebraic dist: 0.2161083221435547
             	RE1 dist: 0.01587582752108574		 Val RE1 dist: 0.04378256698449453
             	SED dist: 0.07875438034534454		 Val SED dist: 0.2156257430712382

Epoch 21/100: Training Loss: 0.07211337238550186		 Val Loss: 0.10440175731976827
             	Training MAE: 0.03841199353337288		 Val MAE: 0.04200663045048714
             	Algebraic dist: 0.1416252702474594		 Val Algebraic dist: 0.19937622547149658
             	RE1 dist: 0.030521435663104057		 Val RE1 dist: 0.03948202232519785
             	SED dist: 0.13143953680992126		 Val SED dist: 0.1934687296549479

Epoch 22/100: Training Loss: 0.04982782527804375		 Val Loss: 0.13247844576835632
             	Training MAE: 0.04021072760224342		 Val MAE: 0.04132957011461258
             	Algebraic dist: 0.12219062447547913		 Val Algebraic dist: 0.21556142965952554
             	RE1 dist: 0.017513664439320564		 Val RE1 dist: 0.05264324446519216
             	SED dist: 0.08616714924573898		 Val SED dist: 0.25028349955876666

Epoch 23/100: Training Loss: 0.06313379108905792		 Val Loss: 0.1263927419980367
             	Training MAE: 0.04007786884903908		 Val MAE: 0.03929603844881058
             	Algebraic dist: 0.13995686173439026		 Val Algebraic dist: 0.21842958529790243
             	RE1 dist: 0.023261409252882004		 Val RE1 dist: 0.05208978056907654
             	SED dist: 0.11217259615659714		 Val SED dist: 0.240032692750295

Epoch 24/100: Training Loss: 0.05416123569011688		 Val Loss: 0.10416330893834432
             	Training MAE: 0.0413549542427063		 Val MAE: 0.04381527379155159
             	Algebraic dist: 0.12774308025836945		 Val Algebraic dist: 0.20078784227371216
             	RE1 dist: 0.01962764374911785		 Val RE1 dist: 0.03754883756240209
             	SED dist: 0.09387430548667908		 Val SED dist: 0.1917273004849752

Epoch 25/100: Training Loss: 0.06187434121966362		 Val Loss: 0.11876076459884644
             	Training MAE: 0.04464919865131378		 Val MAE: 0.04425528272986412
             	Algebraic dist: 0.1487397998571396		 Val Algebraic dist: 0.21866061290105185
             	RE1 dist: 0.021469712257385254		 Val RE1 dist: 0.04346122841040293
             	SED dist: 0.10753084719181061		 Val SED dist: 0.22129446268081665

